Transaction_ID,Items
1,"bread,milk,eggs"
2,"bread,cheese"
3,"milk,diapers,beer,bread"
4,"eggs,diapers,beer"
5,"milk,eggs,diapers,beer"
6,"cheese,diapers,beer"
7,"milk,eggs"
8,"bread,milk,diapers"
9,"bread,diapers,beer"
10,"milk,eggs,cheese"
11,"milk,bread,diapers,beer"
12,"eggs,beer"
13,"milk,eggs,diapers"
14,"milk,beer"
15,"bread,beer"
16,"milk,eggs,diapers"
17,"bread,milk,beer"
18,"milk,eggs,beer"
19,"milk,bread,eggs"
20,"milk,diapers"
21,"eggs,diapers"
22,"bread,milk,cheese"
23,"milk,eggs,diapers,beer"
24,"milk,diapers"
25,"bread,milk,eggs,beer"
26,"eggs,cheese,diapers,beer"
27,"milk,bread,eggs,beer"
28,"milk,cheese,diapers"
29,"bread,eggs,diapers,beer"
30,"milk,eggs,diapers,cheese"
31,"milk,eggs,beer"
32,"milk,diapers,cheese"
33,"bread,eggs,diapers"
34,"milk,bread,beer"
35,"milk,eggs,diapers,beer"
36,"bread,milk,diapers,beer"
37,"milk,eggs,cheese,beer"
38,"milk,bread,cheese,diapers"
39,"milk,eggs,cheese"
40,"milk,diapers,beer"
41,"milk,eggs,diapers,beer"
42,"eggs,cheese"
43,"bread,milk,eggs,diapers"
44,"milk,bread,eggs,cheese"
45,"milk,eggs,beer,cheese"
46,"bread,diapers"
47,"bread,beer"
48,"milk,eggs,diapers,cheese"
49,"milk,bread,eggs,diapers"
50,"milk,cheese"
